"date","name","party","facebook","twitter"
"2015-09-21","Hillary Clinton","D","1382419","4292337"
"2015-09-21","Martin OMalley","D","79614","183"
"2015-09-21","Bernie Sanders","D","1528911","729025"
"2015-09-21","Jim Webb","D","31402","14084"
"2015-09-22","Donald Trump","R","3815561","4248860"
"2015-09-22","Jeb Bush","R","280467","315503"
"2015-09-22","Ben Carson","R","3844448","663593"
"2015-09-22","Chris Christie","R","186520","559342"
"2015-09-22","Ted Cruz","R","1462609","509873"
"2015-09-22","Mark Everson","R","1853","6577"
"2015-09-22","Carly Fiorina","R","449652","563040"
"2015-09-22","Jim Gilmore","R","10476","1698"
"2015-09-22","Lindsey Graham","R","135606","27341"
"2015-09-22","Mike Huckabee","R","1844772","407845"
"2015-09-22","Bobby Jindal","R","283191","217289"
"2015-09-22","John Kasich","R","144957","109665"
"2015-09-22","George Pataki","R","19015","53158"
"2015-09-22","Rand Paul","R","2065986","689359"
"2015-09-22","Marco Rubio","R","1026555","869870"
"2015-09-22","Rick Santorum","R","265314","244222"
"2015-09-22","Lincoln Chafee","D","9610","19503"
"2015-09-22","Hillary Clinton","D","1388727","4300908"
"2015-09-22","Martin OMalley","D","79657","182"
"2015-09-22","Bernie Sanders","D","1537215","734081"
"2015-09-22","Jim Webb","D","31426","14118"
"2015-09-23","Donald Trump","R","3824618","4260067"
"2015-09-23","Jeb Bush","R","280931","316560"
"2015-09-23","Ben Carson","R","3873871","668334"
"2015-09-23","Chris Christie","R","186537","559614"
"2015-09-23","Ted Cruz","R","1465054","511004"
"2015-09-23","Mark Everson","R","1854","6584"
"2015-09-23","Carly Fiorina","R","453462","565869"
"2015-09-23","Jim Gilmore","R","10477","1712"
"2015-09-23","Lindsey Graham","R","135684","27389"
"2015-09-23","Mike Huckabee","R","1845050","408386"
"2015-09-23","Bobby Jindal","R","283252","217475"
"2015-09-23","John Kasich","R","145123","109854"
"2015-09-23","George Pataki","R","19021","53427"
"2015-09-23","Rand Paul","R","2066291","689916"
"2015-09-23","Marco Rubio","R","1028814","871916"
"2015-09-23","Rick Santorum","R","265328","244339"
"2015-09-23","Lincoln Chafee","D","9630","19533"
"2015-09-23","Hillary Clinton","D","1393817","4308345"
"2015-09-23","Martin OMalley","D","79689","182"
"2015-09-23","Bernie Sanders","D","1543853","738544"
"2015-09-23","Jim Webb","D","31461","14145"
"2015-09-24","Donald Trump","R","3840109","4280061"
"2015-09-24","Jeb Bush","R","281457","317971"
"2015-09-24","Ben Carson","R","3935346","673894"
"2015-09-24","Chris Christie","R","186593","560107"
"2015-09-24","Ted Cruz","R","1467586","512655"
"2015-09-24","Mark Everson","R","1856","6571"
"2015-09-24","Carly Fiorina","R","458055","569163"
"2015-09-24","Jim Gilmore","R","10476","1723"
"2015-09-24","Lindsey Graham","R","135799","27464"
"2015-09-24","Mike Huckabee","R","1845310","409128"
"2015-09-24","Bobby Jindal","R","283498","217720"
"2015-09-24","John Kasich","R","145547","110176"
"2015-09-24","George Pataki","R","19042","53694"
"2015-09-24","Rand Paul","R","2066534","690773"
"2015-09-24","Marco Rubio","R","1031225","874819"
"2015-09-24","Rick Santorum","R","265349","244496"
"2015-09-24","Lincoln Chafee","D","9655","19566"
"2015-09-24","Hillary Clinton","D","1402980","4318150"
"2015-09-24","Martin OMalley","D","79736","181"
"2015-09-24","Bernie Sanders","D","1564553","744462"
"2015-09-24","Jim Webb","D","31488","14180"
"2015-09-30","Donald Trump","R","3885205","4323634"
"2015-09-30","Jeb Bush","R","282596","321700"
"2015-09-30","Ben Carson","R","4050694","687706"
"2015-09-30","Chris Christie","R","187011","561175"
"2015-09-30","Ted Cruz","R","1474973","516190"
"2015-09-30","Mark Everson","R","1861","6542"
"2015-09-30","Carly Fiorina","R","467548","574848"
"2015-09-30","Jim Gilmore","R","10471","1743"
"2015-09-30","Lindsey Graham","R","136192","27636"
"2015-09-30","Mike Huckabee","R","1846069","410002"
"2015-09-30","Bobby Jindal","R","283967","217967"
"2015-09-30","John Kasich","R","146278","110701"
"2015-09-30","George Pataki","R","19088","53274"
"2015-09-30","Rand Paul","R","2066877","691745"
"2015-09-30","Marco Rubio","R","1037097","881574"
"2015-09-30","Rick Santorum","R","265338","244776"
"2015-09-30","Lincoln Chafee","D","9721","19627"
"2015-09-30","Hillary Clinton","D","1436338","4352120"
"2015-09-30","Martin OMalley","D","79894","182"
"2015-09-30","Bernie Sanders","D","1613400","760483"
"2015-09-30","Jim Webb","D","31577","14252"
"2015-10-12","Donald Trump","R","3978106","4395659"
"2015-10-12","Jeb Bush","R","284739","329250"
"2015-10-12","Ben Carson","R","4191904","723563"
"2015-10-12","Chris Christie","R","188033","563710"
"2015-10-12","Ted Cruz","R","1489798","522993"
"2015-10-12","Mark Everson","R","1863","6499"
"2015-10-12","Carly Fiorina","R","485760","585333"
"2015-10-12","Jim Gilmore","R","10458","1787"
"2015-10-12","Lindsey Graham","R","137267","27920"
"2015-10-12","Mike Huckabee","R","1848556","411947"
"2015-10-12","Bobby Jindal","R","284312","218879"
"2015-10-12","John Kasich","R","146880","111618"
"2015-10-12","George Pataki","R","19142","56155"
"2015-10-12","Rand Paul","R","2067516","694200"
"2015-10-12","Marco Rubio","R","1046245","892132"
"2015-10-12","Rick Santorum","R","265407","245200"
"2015-10-12","Lincoln Chafee","D","9952","19876"
"2015-10-12","Hillary Clinton","D","1522106","4431044"
"2015-10-12","Martin OMalley","D","80848","187"
"2015-10-12","Bernie Sanders","D","1653105","794600"
"2015-10-12","Jim Webb","D","32044","14605"
"2015-10-12","Donald Trump","R","3978302","4395908"
"2015-10-12","Jeb Bush","R","284744","329267"
"2015-10-12","Ben Carson","R","4192007","723607"
"2015-10-12","Chris Christie","R","188034","563712"
"2015-10-12","Ted Cruz","R","1489821","523010"
"2015-10-12","Mark Everson","R","1864","6499"
"2015-10-12","Carly Fiorina","R","485780","585360"
"2015-10-12","Jim Gilmore","R","10458","1788"
"2015-10-12","Lindsey Graham","R","137269","27920"
"2015-10-12","Mike Huckabee","R","1848560","411951"
"2015-10-12","Bobby Jindal","R","284315","218877"
"2015-10-12","John Kasich","R","146882","111623"
"2015-10-12","George Pataki","R","19142","56155"
"2015-10-12","Rand Paul","R","2067519","694207"
"2015-10-12","Marco Rubio","R","1046254","892148"
"2015-10-12","Rick Santorum","R","265408","245204"
"2015-10-12","Lincoln Chafee","D","9957","19876"
"2015-10-12","Hillary Clinton","D","1522515","4431403"
"2015-10-12","Martin OMalley","D","80864","187"
"2015-10-12","Bernie Sanders","D","1653207","794684"
"2015-10-12","Jim Webb","D","32054","14606"
"2015-10-12","Donald Trump","R","3978309","4395912"
"2015-10-12","Jeb Bush","R","284744","329267"
"2015-10-12","Ben Carson","R","4192008","723608"
"2015-10-12","Chris Christie","R","188034","563712"
"2015-10-12","Ted Cruz","R","1489821","523010"
"2015-10-12","Mark Everson","R","1864","6499"
"2015-10-12","Carly Fiorina","R","485781","585360"
"2015-10-12","Jim Gilmore","R","10458","1788"
"2015-10-12","Lindsey Graham","R","137269","27920"
"2015-10-12","Mike Huckabee","R","1848561","411951"
"2015-10-12","Bobby Jindal","R","284314","218877"
"2015-10-12","John Kasich","R","146882","111623"
"2015-10-12","George Pataki","R","19143","56155"
"2015-10-12","Rand Paul","R","2067520","694207"
"2015-10-12","Marco Rubio","R","1046256","892148"
"2015-10-12","Rick Santorum","R","265409","245204"
"2015-10-12","Lincoln Chafee","D","9957","19876"
"2015-10-12","Hillary Clinton","D","1522530","4431409"
"2015-10-12","Martin OMalley","D","80864","187"
"2015-10-12","Bernie Sanders","D","1653210","794685"
"2015-10-12","Jim Webb","D","32054","14606"
"2015-10-12","Donald Trump","R","3978311","4395914"
"2015-10-12","Jeb Bush","R","284744","329267"
"2015-10-12","Ben Carson","R","4192015","723608"
"2015-10-12","Chris Christie","R","188034","563713"
"2015-10-12","Ted Cruz","R","1489821","523010"
"2015-10-12","Mark Everson","R","1864","6499"
"2015-10-12","Carly Fiorina","R","485782","585360"
"2015-10-12","Jim Gilmore","R","10458","1788"
"2015-10-12","Lindsey Graham","R","137269","27920"
"2015-10-12","Mike Huckabee","R","1848562","411951"
"2015-10-12","Bobby Jindal","R","284314","218877"
"2015-10-12","John Kasich","R","146882","111623"
"2015-10-12","George Pataki","R","19143","56155"
"2015-10-12","Rand Paul","R","2067520","694208"
"2015-10-12","Marco Rubio","R","1046256","892149"
"2015-10-12","Rick Santorum","R","265409","245204"
"2015-10-12","Lincoln Chafee","D","9957","19876"
"2015-10-12","Hillary Clinton","D","1522541","4431422"
"2015-10-12","Martin OMalley","D","80864","187"
"2015-10-12","Bernie Sanders","D","1653210","794684"
"2015-10-12","Jim Webb","D","32054","14606"
"2015-10-12","Donald Trump","R","3980321","4398022"
"2015-10-12","Jeb Bush","R","284782","329490"
"2015-10-12","Ben Carson","R","4193162","724107"
"2015-10-12","Chris Christie","R","188044","563753"
"2015-10-12","Ted Cruz","R","1490047","523196"
"2015-10-12","Mark Everson","R","1864","6497"
"2015-10-12","Carly Fiorina","R","486019","585621"
"2015-10-12","Jim Gilmore","R","10458","1789"
"2015-10-12","Lindsey Graham","R","137309","27931"
"2015-10-12","Mike Huckabee","R","1848601","411957"
"2015-10-12","Bobby Jindal","R","284339","218901"
"2015-10-12","John Kasich","R","146891","111643"
"2015-10-12","George Pataki","R","19147","56156"
"2015-10-12","Rand Paul","R","2067528","694285"
"2015-10-12","Marco Rubio","R","1046370","892303"
"2015-10-12","Rick Santorum","R","265405","245206"
"2015-10-12","Lincoln Chafee","D","9991","19887"
"2015-10-12","Hillary Clinton","D","1525327","4434534"
"2015-10-12","Martin OMalley","D","80931","188"
"2015-10-12","Bernie Sanders","D","1654084","795417"
"2015-10-12","Jim Webb","D","32106","14627"
"2015-10-12","Donald Trump","R","3980635","4398271"
